COMUNA,LOCAL DE VOTACION,NOMBRE DEL CANDIDATO,VOTOS,CALLE,NUMERO,LATITUD,LONGITUD,Lista
SAN MIGUEL,C.P.F de san miguel,Alejandro Antonio Hidalgo Araya,1,SAN FRANCISCO,4756,-33.497879,-70.646925,F
SAN MIGUEL,C.P.F de san miguel,Andrea Solange Charpentier Luci,0,SAN FRANCISCO,4756,-33.497879,-70.646925,G
SAN MIGUEL,C.P.F de san miguel,Andres Kebir Diban Dinamarca,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,C.P.F de san miguel,Bastian Woldarsky Cumsille,0,SAN FRANCISCO,4756,-33.497879,-70.646925,E
SAN MIGUEL,C.P.F de san miguel,Betzabe Moya Cabello,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,C.P.F de san miguel,Camila Paz Ramirez Rebolledo,2,SAN FRANCISCO,4756,-33.497879,-70.646925,X
SAN MIGUEL,C.P.F de san miguel,Carla Andrea Santana Bustamante,1,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,C.P.F de san miguel,Carlos Alberto Perez Aguirre,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,C.P.F de san miguel,Carlos Arnoldo Garcia Ponce,0,SAN FRANCISCO,4756,-33.497879,-70.646925,U
SAN MIGUEL,C.P.F de san miguel,Carlos Enrique Torres Perez,1,SAN FRANCISCO,4756,-33.497879,-70.646925,E
SAN MIGUEL,C.P.F de san miguel,Cesar Benavides Diaz,0,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Claudia Rojas Miranda,1,SAN FRANCISCO,4756,-33.497879,-70.646925,E
SAN MIGUEL,C.P.F de san miguel,Claudio Escobar Oyarzun,1,SAN FRANCISCO,4756,-33.497879,-70.646925,ZZI
SAN MIGUEL,C.P.F de san miguel,Cristian Alejandro Marambio Gomez,1,SAN FRANCISCO,4756,-33.497879,-70.646925,Y
SAN MIGUEL,C.P.F de san miguel,Cristian Ignacio Duran Martinez,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,C.P.F de san miguel,Cristian Rodrigo Hidalgo Morales,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
